,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,number_cnt,Category,No_of_Reassignments,Open_Time,Resolved_Time,Close_Time,Closure_Code,No_of_Related_Interactions,Handle_Time_hrs,Ticket_Age,Open_Hour,Open_Day,Open_Month,Open_Year,Is_Weekend
0,subapplication,Web Based Application,IM0000004,4,4,4.0,0.601292279,incident,26.0,2012-02-05 13:32:00,2013-11-04 13:50:00,2013-11-04 13:51:00,Other,1.0,15312.316666666668,638,13,6,2,2012,True
1,application,Web Based Application,IM0000005,3,3,3.0,0.415049969,incident,33.0,2012-03-12 15:44:00,2013-12-02 12:36:00,2013-12-02 12:36:00,Software,1.0,15116.866666666667,629,15,0,3,2012,False
2,application,Desktop Application,IM0000006,4,3,4.0,0.517551335,request for information,3.0,2012-03-29 12:36:00,2014-01-13 15:12:00,2014-01-13 15:13:00,No error - works as designed,1.0,15722.616666666667,655,12,3,3,2012,False
3,application,Web Based Application,IM0000011,4,4,4.0,0.642927218,incident,13.0,2012-07-17 11:49:00,2013-11-14 09:31:00,2013-11-14 09:31:00,Operator error,1.0,11637.7,484,11,1,7,2012,False
4,application,Web Based Application,IM0000012,4,4,4.0,0.345258343,incident,2.0,2012-08-10 11:01:00,2013-11-08 13:55:00,2013-11-08 13:55:00,Other,1.0,10922.9,455,11,4,8,2012,False
5,application,Web Based Application,IM0000013,4,4,4.0,0.006675648,incident,4.0,2012-08-10 11:27:00,2013-11-08 13:54:00,2013-11-08 13:54:00,Other,1.0,10922.45,455,11,4,8,2012,False
6,application,Web Based Application,IM0000014,4,4,4.0,0.19290712,incident,2.0,2012-08-15 14:17:00,2013-12-27 10:59:00,2013-12-27 10:59:00,Unknown,1.0,11972.7,498,14,2,8,2012,False
7,application,Web Based Application,IM0000015,4,4,4.0,0.996467545,incident,5.0,2012-08-22 16:31:00,2013-11-08 14:09:00,2013-11-08 14:09:00,Other,1.0,10629.633333333333,442,16,2,8,2012,False
8,application,Web Based Application,IM0000017,4,3,4.0,0.269573825,incident,2.0,2012-08-29 15:59:00,2013-11-08 14:02:00,2013-11-08 14:02:00,Other,1.0,10462.05,435,15,2,8,2012,False
9,application,Web Based Application,IM0000018,4,4,4.0,0.306670312,incident,2.0,2012-09-03 16:04:00,2013-11-08 14:33:00,2013-11-08 14:35:00,No error - works as designed,1.0,10342.516666666666,430,16,0,9,2012,False
10,application,Web Based Application,IM0000019,4,4,4.0,0.439908807,incident,6.0,2012-09-21 12:56:00,2013-11-08 14:23:00,2013-11-08 14:23:00,Software,1.0,9913.45,413,12,4,9,2012,False
11,application,Web Based Application,IM0000020,4,4,4.0,0.291927638,incident,8.0,2012-10-01 10:49:00,2013-11-08 14:18:00,2013-11-08 14:22:00,Software,1.0,9675.55,403,10,0,10,2012,False
12,application,Web Based Application,IM0000021,4,4,4.0,0.776486429,incident,5.0,2012-10-02 12:12:00,2014-02-04 09:38:00,2014-02-04 09:38:00,Software,2.0,11757.433333333332,489,12,1,10,2012,False
13,application,Web Based Application,IM0000022,4,4,4.0,0.592713494,incident,17.0,2012-10-15 15:50:00,2013-10-10 12:53:00,2013-11-14 13:33:00,Software,1.0,9477.716666666667,394,15,0,10,2012,False
14,application,Server Based Application,IM0000023,3,3,3.0,0.025310167,incident,1.0,2012-10-18 14:33:00,2013-12-12 10:23:00,2013-12-12 10:24:00,Data,1.0,10075.85,419,14,3,10,2012,False
15,application,Web Based Application,IM0000024,4,4,4.0,0.701704659,incident,3.0,2012-10-23 12:01:00,2013-11-08 14:57:00,2013-11-08 14:58:00,Other,1.0,9146.95,381,12,1,10,2012,False
16,subapplication,Web Based Application,IM0000028,4,4,4.0,0.440612692,incident,1.0,2012-11-21 11:53:00,2013-12-20 11:30:00,2013-12-20 11:31:00,Other,1.0,9455.633333333333,393,11,2,11,2012,False
17,subapplication,Web Based Application,IM0000031,4,4,4.0,0.151630128,incident,7.0,2012-12-05 15:17:00,2013-10-30 08:45:00,2013-10-30 08:45:00,Unknown,1.0,7889.466666666666,328,15,2,12,2012,False
18,application,Desktop Application,IM0000033,3,3,3.0,0.860254961,incident,17.0,2012-12-07 14:34:00,2013-11-30 10:39:00,2013-11-30 10:39:00,Other,2.0,8588.083333333334,357,14,4,12,2012,False
19,application,Web Based Application,IM0000034,5,5,5.0,0.663615311,incident,5.0,2012-12-10 14:44:00,2014-03-28 14:20:00,2014-03-28 14:20:00,Other,2.0,11351.6,472,14,0,12,2012,False
20,application,Web Based Application,IM0000035,4,4,4.0,0.42814765,incident,6.0,2012-12-24 16:31:00,2013-11-14 09:49:00,2013-11-14 09:49:00,Referred,1.0,7793.3,324,16,0,12,2012,False
21,application,Web Based Application,IM0000038,4,4,4.0,0.070123275,incident,4.0,2013-01-15 15:36:00,2014-01-29 15:01:00,2014-01-29 15:01:00,Software,1.0,9095.416666666666,378,15,1,1,2013,False
